"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"B.Cu (mm)";
001;"NET_3.3V_VCC_P06";8;1;1.6000;27.5596;0.0000;29.1596;6.9341;20.6255;
002;"NET_3.3V_VCC_P07";8;1;1.6000;25.8740;0.0000;27.4740;3.4169;22.4571;
003;"NET_3.3V_VCC_P08";8;1;1.6000;26.9596;0.0000;28.5596;3.2300;23.7296;
004;"NET_3.3V_VCC_P09";8;1;1.6000;18.6790;0.0000;20.2790;3.6381;15.0410;
005;"NET_3.3V_VCC_P10";8;1;1.6000;33.7180;0.0000;35.3180;5.7903;27.9277;
006;"NET_3.3V_VCC_P11";8;1;1.6000;26.2734;0.0000;27.8734;4.8071;21.4663;
007;"NET_3.3V_VCC_P12";8;1;1.6000;27.9841;0.0000;29.5841;4.6562;23.3278;
008;"NET_3.3V_VCC_P13";8;1;1.6000;26.6966;0.0000;28.2966;4.1633;22.5333;
009;"NET_3.3V_VCC_P14";8;1;1.6000;15.8506;0.0000;17.4506;4.3190;11.5316;
010;"NET_3.3V_VCC_P15";8;1;1.6000;22.3052;0.0000;23.9052;3.6868;18.6184;
011;"NET_3.3V_VCC_P16";8;1;1.6000;23.7247;0.0000;25.3247;3.9162;19.8085;
012;"NET_3.3V_VCC_P17";8;1;1.6000;23.9722;0.0000;25.5722;3.0000;20.9722;
013;"NET_3.3V_VCC_P18";8;3;4.8000;30.3599;0.0000;35.1599;9.6648;20.6951;
014;"NET_3.3V_VCC_P19";8;1;1.6000;19.8251;0.0000;21.4251;6.2405;13.5845;
015;"NET_3.3V_VCC_P20";8;1;1.6000;24.5748;0.0000;26.1748;4.0652;20.5096;
016;"NET_3.3V_VCC_P21";8;1;1.6000;24.2873;0.0000;25.8873;6.5964;17.6908;
017;"NET_3.3V_VCC_P22";8;1;1.6000;18.6590;0.0000;20.2590;4.2796;14.3794;
018;"NET_3.3V_VCC_P23";8;1;1.6000;26.3516;0.0000;27.9516;5.8988;20.4527;
019;"NET_3.3V_VCC_P24";8;1;1.6000;22.8183;0.0000;24.4183;3.5330;19.2853;
020;"NET_3.3V_VCC_P25";8;1;1.6000;19.8037;0.0000;21.4037;6.3750;13.4287;
021;"NET_3.3V_VCC_P26";8;2;3.2000;18.1082;0.0000;21.3082;7.0855;11.0227;
022;"NET_3.3V_VCC_P27";8;1;1.6000;25.2456;0.0000;26.8456;5.7731;19.4725;
