"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"B.Cu (mm)";
001;"NET_12V_VDD_ASIC1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
002;"NET_3V3_CTRL";6;0;0.0000;5.8613;0.0000;5.8613;5.8613;0.0000;
003;"NET_3V3_CTRL_HVDD_DVDD_PL0_3";7;3;4.8000;25.2316;0.0000;30.0316;14.5596;10.6720;
004;"NET_3V3_CTRL_HVDD_DVDD_PL1_3";7;0;0.0000;15.5262;0.0000;15.5262;15.5262;0.0000;
005;"NET_3V3_CTRL_VDD_3";7;3;4.8000;24.6752;0.0000;29.4752;20.5473;4.1278;
006;"AG_DVDD_PL0_ASIC1_PWMVID_R";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
007;"AG_DVDD_PL0_PWM_PH1_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
008;"AG_DVDD_PL0_PWM_PH1_R_3";2;0;0.0000;2.0595;0.0000;2.0595;2.0595;0.0000;
009;"AG_DVDD_PL0_PWM_PH2_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
010;"AG_DVDD_PL0_PWM_PH2_R_3";2;0;0.0000;1.5743;0.0000;1.5743;1.5743;0.0000;
011;"AG_DVDD_PL1_ASIC1_PWMVID_R";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
012;"AG_DVDD_PL1_PWM_PH1_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
013;"AG_DVDD_PL1_PWM_PH1_R_3";2;0;0.0000;2.1524;0.0000;2.1524;2.1524;0.0000;
014;"AG_DVDD_PL1_PWM_PH2_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
015;"AG_DVDD_PL1_PWM_PH2_R_3";2;0;0.0000;1.7328;0.0000;1.7328;1.7328;0.0000;
016;"AG_HVDD_PL0_PWMVID_3";2;0;0.0000;1.7571;0.0000;1.7571;1.7571;0.0000;
017;"AG_HVDD_PL0_PWM_PH1_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
018;"AG_HVDD_PL0_PWM_PH1_R_3";2;0;0.0000;1.9499;0.0000;1.9499;1.9499;0.0000;
019;"AG_HVDD_PL0_PWM_PH2_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
020;"AG_HVDD_PL0_PWM_PH2_R_3";2;0;0.0000;1.3608;0.0000;1.3608;1.3608;0.0000;
021;"AG_HVDD_PL1_PWMVID_3";2;0;0.0000;0.7915;0.0000;0.7915;0.7915;0.0000;
022;"AG_HVDD_PL1_PWM_PH1_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
023;"AG_HVDD_PL1_PWM_PH1_R_3";2;0;0.0000;0.8433;0.0000;0.8433;0.8433;0.0000;
024;"AG_HVDD_PL1_PWM_PH2_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
025;"AG_HVDD_PL1_PWM_PH2_R_3";2;0;0.0000;1.7288;0.0000;1.7288;1.7288;0.0000;
026;"AG_VDD_ASIC1_PWMVID_R";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
027;"AG_VDD_PWMVID2_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
028;"AG_VDD_PWM_PH10_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
029;"AG_VDD_PWM_PH10_R_3";2;0;0.0000;1.7585;0.0000;1.7585;1.7585;0.0000;
030;"AG_VDD_PWM_PH11_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
031;"AG_VDD_PWM_PH11_R_3";2;2;3.2000;6.0071;0.0000;9.2071;2.3320;3.6751;
032;"AG_VDD_PWM_PH12_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
033;"AG_VDD_PWM_PH12_R_3";2;0;0.0000;1.6514;0.0000;1.6514;1.6514;0.0000;
034;"AG_VDD_PWM_PH13_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
035;"AG_VDD_PWM_PH13_R_3";2;0;0.0000;0.9207;0.0000;0.9207;0.9207;0.0000;
036;"AG_VDD_PWM_PH14_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
037;"AG_VDD_PWM_PH14_R_3";2;0;0.0000;1.2348;0.0000;1.2348;1.2348;0.0000;
038;"AG_VDD_PWM_PH15_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
039;"AG_VDD_PWM_PH15_R_3";2;0;0.0000;1.1450;0.0000;1.1450;1.1450;0.0000;
040;"AG_VDD_PWM_PH16_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
041;"AG_VDD_PWM_PH16_R_3";2;0;0.0000;0.8914;0.0000;0.8914;0.8914;0.0000;
042;"AG_VDD_PWM_PH1_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
043;"AG_VDD_PWM_PH1_R_3";2;0;0.0000;1.4278;0.0000;1.4278;1.4278;0.0000;
044;"AG_VDD_PWM_PH2_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
045;"AG_VDD_PWM_PH2_R_3";2;0;0.0000;1.4348;0.0000;1.4348;1.4348;0.0000;
046;"AG_VDD_PWM_PH3_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
047;"AG_VDD_PWM_PH3_R_3";2;2;3.2000;4.0660;0.0000;7.2660;0.9619;3.1041;
048;"AG_VDD_PWM_PH4_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
049;"AG_VDD_PWM_PH4_R_3";2;0;0.0000;2.2450;0.0000;2.2450;2.2450;0.0000;
050;"AG_VDD_PWM_PH5_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
051;"AG_VDD_PWM_PH5_R_3";2;0;0.0000;3.8063;0.0000;3.8063;3.8063;0.0000;
052;"AG_VDD_PWM_PH6_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
053;"AG_VDD_PWM_PH6_R_3";2;2;3.2000;2.7568;0.0000;5.9568;0.7034;2.0534;
054;"AG_VDD_PWM_PH7_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
055;"AG_VDD_PWM_PH7_R_3";2;2;3.2000;3.3634;0.0000;6.5634;1.9579;1.4055;
056;"AG_VDD_PWM_PH8_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
057;"AG_VDD_PWM_PH8_R_3";2;0;0.0000;2.7767;0.0000;2.7767;2.7767;0.0000;
058;"AG_VDD_PWM_PH9_3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
059;"AG_VDD_PWM_PH9_R_3";2;2;3.2000;3.5500;0.0000;6.7500;0.8534;2.6966;
060;"GP_HVDD_DVDD_S0_ASIC1_ALERT_L";2;0;0.0000;1.4107;0.0000;1.4107;1.4107;0.0000;
061;"GP_HVDD_DVDD_S1_ASIC1_ALERT_L";2;2;3.2000;4.2661;0.0000;7.4661;1.8603;2.4058;
062;"GP_VDD_ASIC1_ALERT_L";2;0;0.0000;2.0045;0.0000;2.0045;2.0045;0.0000;
