"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"B.Cu (mm)";
001;"NET_1.8V_ASIC_QPS_PG_SNS";3;0;0.0000;2.3421;0.0000;2.3421;2.3421;0.0000;
002;"NET_12VSB";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
003;"NET_2.5V_OSC_EAST";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
004;"NET_2.5V_OSC_EAST_PG_SNS";3;0;0.0000;3.8913;0.0000;3.8913;3.8913;0.0000;
005;"NET_2.5V_OSC_WEST";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
006;"NET_2.5V_OSC_WEST_PG_SNS";3;0;0.0000;2.8027;0.0000;2.8027;2.8027;0.0000;
007;"NET_3.3V_AUX";14;5;8.0000;27.8915;0.0000;35.8915;23.1051;4.7864;
008;"GP_1.8V_ASIC_QPS_FB";2;0;0.0000;0.9093;0.0000;0.9093;0.9093;0.0000;
009;"GP_1.8V_ASIC_QPS_REF";4;0;0.0000;4.5074;0.0000;4.5074;4.5074;0.0000;
010;"GP_12VSB_COMP_REF";3;0;0.0000;4.6296;0.0000;4.6296;4.6296;0.0000;
011;"GP_12VSB_COMP_REF_R";3;0;0.0000;2.7819;0.0000;2.7819;2.7819;0.0000;
012;"GP_12VSB_FB";2;0;0.0000;0.9617;0.0000;0.9617;0.9617;0.0000;
013;"GP_12VSB_REF";4;3;4.8000;7.2972;0.0000;12.0972;2.4335;4.8637;
014;"GP_2.5V_OSC_EAST_FB";2;0;0.0000;0.9556;0.0000;0.9556;0.9556;0.0000;
015;"GP_2.5V_OSC_EAST_REF";4;0;0.0000;4.5897;0.0000;4.5897;4.5897;0.0000;
016;"GP_2.5V_OSC_WEST_FB";2;0;0.0000;0.9315;0.0000;0.9315;0.9315;0.0000;
017;"GP_2.5V_OSC_WEST_REF";4;3;4.8000;9.3948;0.0000;14.1948;5.4816;3.9131;
018;"S_1.8V_ASIC_QPS_PG";2;0;0.0000;1.3207;0.0000;1.3207;1.3207;0.0000;
019;"S_1.8V_ASIC_QPS_PG_L";5;0;0.0000;8.3228;0.0000;8.3228;8.3228;0.0000;
020;"S_12VSB_PG";2;0;0.0000;1.6148;0.0000;1.6148;1.6148;0.0000;
021;"S_12VSB_PG_L";5;2;3.2000;7.8934;0.0000;11.0934;6.2364;1.6570;
022;"S_2.5V_OSC_ASIC_EAST_PG";2;0;0.0000;1.4126;0.0000;1.4126;1.4126;0.0000;
023;"S_2.5V_OSC_ASIC_EAST_PG_L";5;0;0.0000;11.0496;0.0000;11.0496;11.0496;0.0000;
024;"S_2.5V_OSC_ASIC_WEST_PG";2;0;0.0000;1.4299;0.0000;1.4299;1.4299;0.0000;
025;"S_2.5V_OSC_ASIC_WEST_PG_L";5;0;0.0000;6.3689;0.0000;6.3689;6.3689;0.0000;
