"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"B.Cu (mm)";
001;"NET_1V8_VDDIO";4;1;1.6000;11.6730;0.0000;13.2730;1.4131;10.2599;
002;"NET_3.3V_CPLD_MAIN";58;1;1.6000;88.5110;0.0000;90.1110;36.1728;52.3382;
003;"NET_3V3_AUX";19;2;3.2000;99.0462;0.0000;102.2462;36.5519;62.4942;
004;"AG_CPLD_FAN_PWM1";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
005;"AG_CPLD_FAN_PWM1_R";2;1;1.6000;2.3487;0.0000;3.9487;1.9615;0.3873;
006;"AG_CPLD_FAN_PWM2";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
007;"AG_CPLD_FAN_PWM2_R";2;1;1.6000;2.0529;0.0000;3.6529;1.1783;0.8746;
008;"AG_CPLD_FAN_PWM3";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
009;"AG_CPLD_FAN_PWM3_R";2;1;1.6000;1.1156;0.0000;2.7156;0.5559;0.5598;
010;"AG_CPLD_FAN_PWM4";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
011;"AG_CPLD_FAN_PWM4_R";2;1;1.6000;0.9844;0.0000;2.5844;0.4710;0.5134;
012;"AG_FAN1_FRONT_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
013;"AG_FAN1_REAR_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
014;"AG_FAN2_FRONT_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
015;"AG_FAN2_REAR_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
016;"AG_FAN3_FRONT_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
017;"AG_FAN3_REAR_TACHO";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
